tarih;saat;yukleme_adedi;yukleme_yapilan_kart_adedi
2021-01-01;0;2;2
2021-01-01;1;1;1
2021-01-01;4;1;1
2021-01-01;7;27;27
2021-01-01;8;19;19
2021-01-01;9;24;23
2021-01-01;10;52;51
2021-01-01;11;56;56
2021-01-01;12;38;38
2021-01-01;13;132;128
2021-01-01;14;124;118
2021-01-01;15;128;125
2021-01-01;16;146;140
2021-01-01;17;53;53
2021-01-01;18;34;34
2021-01-01;19;17;16
2021-01-01;20;13;12
2021-01-01;21;7;7
2021-01-01;22;4;4
2021-01-01;23;7;7
2021-01-02;0;1;1
2021-01-02;6;5;5
2021-01-02;7;22;21
2021-01-02;8;32;31
2021-01-02;9;20;20
2021-01-02;10;58;56
2021-01-02;11;63;63
2021-01-02;12;114;113
2021-01-02;13;144;141
2021-01-02;14;188;185
2021-01-02;15;167;166
2021-01-02;16;213;210
2021-01-02;17;68;67
2021-01-02;18;51;40
2021-01-02;19;29;23
2021-01-02;20;9;8
2021-01-02;21;6;5
2021-01-02;22;3;3
2021-01-02;23;1;1
2021-01-03;3;1;1
2021-01-03;4;1;1
2021-01-03;5;1;1
2021-01-03;6;2;2
2021-01-03;7;3;3
2021-01-03;8;18;9
2021-01-03;9;11;11
2021-01-03;10;61;60
2021-01-03;11;85;85
2021-01-03;12;120;112
2021-01-03;13;174;174
2021-01-03;14;248;245
2021-01-03;15;280;276
2021-01-03;16;278;276
2021-01-03;17;79;71
2021-01-03;18;32;32
2021-01-03;19;18;18
2021-01-03;20;11;11
2021-01-03;21;20;20
2021-01-03;22;27;27
2021-01-03;23;21;20
2021-01-04;0;9;9
2021-01-04;4;2;2
2021-01-04;5;3;3
2021-01-04;6;94;94
2021-01-04;7;1268;1257
2021-01-04;8;1270;1260
2021-01-04;9;1085;1077
2021-01-04;10;1014;1007
2021-01-04;11;1196;1184
2021-01-04;12;1405;1387
2021-01-04;13;1334;1318
2021-01-04;14;1400;1386
2021-01-04;15;1168;1158
2021-01-04;16;1339;1327
2021-01-04;17;1367;1347
2021-01-04;18;1778;1756
2021-01-04;19;1497;1483
2021-01-04;20;625;618
2021-01-04;21;44;43
2021-01-04;22;36;36
2021-01-04;23;24;21
2021-01-05;0;2;2
2021-01-05;3;1;1
2021-01-05;4;1;1
2021-01-05;5;3;3
2021-01-05;6;81;81
2021-01-05;7;744;737
2021-01-05;8;955;948
2021-01-05;9;881;872
2021-01-05;10;909;900
2021-01-05;11;986;970
2021-01-05;12;1186;1168
2021-01-05;13;1244;1229
2021-01-05;14;1249;1237
2021-01-05;15;1141;1131
2021-01-05;16;1110;1094
2021-01-05;17;1022;1014
2021-01-05;18;1322;1306
2021-01-05;19;1280;1266
2021-01-05;20;575;569
2021-01-05;21;36;36
2021-01-05;22;15;15
2021-01-05;23;17;17
2021-01-06;5;1;1
2021-01-06;6;92;91
2021-01-06;7;763;760
2021-01-06;8;947;939
2021-01-06;9;833;826
2021-01-06;10;885;878
2021-01-06;11;1049;1032
2021-01-06;12;1143;1126
2021-01-06;13;1183;1172
2021-01-06;14;1127;1113
2021-01-06;15;1089;1070
2021-01-06;16;1080;1068
2021-01-06;17;1174;1156
2021-01-06;18;1411;1393
2021-01-06;19;1283;1271
2021-01-06;20;553;539
2021-01-06;21;25;25
2021-01-06;22;17;17
2021-01-06;23;19;19
2021-01-07;1;1;1
2021-01-07;5;1;1
2021-01-07;6;85;85
2021-01-07;7;586;582
2021-01-07;8;518;515
2021-01-07;9;601;594
2021-01-07;10;907;892
2021-01-07;11;1023;1013
2021-01-07;12;1200;1186
2021-01-07;13;1245;1228
2021-01-07;14;1112;1100
2021-01-07;15;1135;1122
2021-01-07;16;1160;1142
2021-01-07;17;1151;1137
2021-01-07;18;1405;1391
2021-01-07;19;1254;1245
2021-01-07;20;536;530
2021-01-07;21;44;42
2021-01-07;22;27;27
2021-01-07;23;16;16
2021-01-08;0;1;1
2021-01-08;3;1;1
2021-01-08;5;3;3
2021-01-08;6;53;53
2021-01-08;7;644;635
2021-01-08;8;812;803
2021-01-08;9;849;842
2021-01-08;10;850;841
2021-01-08;11;990;983
2021-01-08;12;1105;1096
2021-01-08;13;1046;1039
2021-01-08;14;1469;1451
2021-01-08;15;1272;1265
2021-01-08;16;1175;1168
2021-01-08;17;1197;1186
2021-01-08;18;1337;1316
2021-01-08;19;1284;1271
2021-01-08;20;653;646
2021-01-08;21;27;26
2021-01-08;22;13;12
2021-01-08;23;20;19
2021-01-09;0;2;2
2021-01-09;6;5;5
2021-01-09;7;37;36
2021-01-09;8;27;25
2021-01-09;9;22;22
2021-01-09;10;58;56
2021-01-09;11;75;73
2021-01-09;12;104;102
2021-01-09;13;187;182
2021-01-09;14;208;202
2021-01-09;15;171;167
2021-01-09;16;225;224
2021-01-09;17;90;89
2021-01-09;18;52;52
2021-01-09;19;21;21
2021-01-09;20;10;9
2021-01-09;21;3;3
2021-01-09;22;5;5
2021-01-09;23;3;3
2021-01-10;0;2;2
2021-01-10;3;2;2
2021-01-10;6;1;1
2021-01-10;7;7;7
2021-01-10;8;8;8
2021-01-10;9;15;15
2021-01-10;10;69;68
2021-01-10;11;111;109
2021-01-10;12;156;155
2021-01-10;13;245;243
2021-01-10;14;271;270
2021-01-10;15;275;271
2021-01-10;16;279;275
2021-01-10;17;77;74
2021-01-10;18;29;29
2021-01-10;19;18;18
2021-01-10;20;18;18
2021-01-10;21;12;12
2021-01-10;22;24;24
2021-01-10;23;7;7
2021-01-11;0;3;3
2021-01-11;1;1;1
